02/07/25	Despesa	Costureira	Produção	Elma De Barros Guimaraes Silva	-R$ 400,00	 R$ 400,00 	 Elma 
07/07/25	Despesa	Tecido	Produção	Mg Comercio Atacadista...	-R$ 875,00	 R$ 875,00 	 Elma 
07/07/25	Receita	Pagamentos	Recebimentos	Polimix Concreto Ltda	R$ 3.733,60	 R$ 3.733,60 	 Elma 
10/07/25	Despesa	Tecido	Produção	Prime Promocional Ltda	-R$ 1.391,00	 R$ 1.391,00 	 Elma 
11/07/25	Despesa	Outros	Outros	Pagar Me Pagamentos	-R$ 54,43	 R$ 54,43 	 Elma 
11/07/25	Despesa	Outros	Outros	Confrapag Consultoria Empresarial	-R$ 574,75	 R$ 574,75 	 Elma 
14/07/25	Despesa	Outros	Outros	Pagar Me Pagamentos	-R$ 54,43	 R$ 54,43 	 Elma 
15/07/25	Receita	Pagamentos	Recebimentos	Polimix Concreto Ltda	R$ 2.874,50	 R$ 2.874,50 	 Elma 
17/07/25	Despesa	Outros	Outros	Pix Marketplace	-R$ 234,00	 R$ 234,00 	 Elma 
28/07/25	Despesa	Outros	Outros	Fabio Ferrari Martinez	-R$ 125,00	 R$ 125,00 	 Elma 
29/07/25	Despesa	Bordado	Produção	Ribis Bordados E Confeccoes Ltda	-R$ 773,30	 R$ 773,30 	 Elma 
31/07/25	Receita	Pagamentos	Recebimentos	POLIMIX CONCRETO LTDA	R$ 2.092,90	 R$ 2.092,90 	 Elma 
31/07/25	Receita	Pagamentos	Recebimentos	POLIMIX CONCRETO LTDA	R$ 359,00	 R$ 359,00 	 Elma 
31/07/25	Receita	Pagamentos	Recebimentos	Polimix Concreto Ltda	R$ 360,00	 R$ 360,00 	 Elma 
01/08/25	Despesa	Tecido	Produção	Mg Comercio Atacadista...	-R$ 525,00	 R$ 525,00 	 Elma 
04/08/25	Despesa	Outros	Outros	Fabio Ferrari Martinez	-R$ 124,00	 R$ 124,00 	 Elma 
07/08/25	Despesa	Costureira	Produção	Elma De Barros Guimaraes Silva	-R$ 600,00	 R$ 600,00 	 Elma 
07/08/25	Despesa	Costureira	Produção	Elma De Barros Guimaraes Silva	-R$ 2.801,00	 R$ 2.801,00 	 Elma 
13/08/25	Despesa	Tecido	Produção	Prime Promocional Ltda	-R$ 3.510,00	 R$ 3.510,00 	 Elma 
14/08/25	Despesa	Outros	Outros	Fabio Ferrari Martinez	-R$ 121,00	 R$ 121,00 	 Elma 
15/08/25	Receita	Pagamentos	Recebimentos	POLIMIX CONCRETO LTDA	R$ 1.690,00	 R$ 1.690,00 	 Elma 
15/08/25	Receita	Pagamentos	Recebimentos	ECOMIX ARGAMASSAS LTDA	R$ 2.300,00	 R$ 2.300,00 	 Elma 
15/08/25	Receita	Pagamentos	Recebimentos	POLIMIX CONCRETO LTDA	R$ 2.890,00	 R$ 2.890,00 	 Elma 
15/08/25	Receita	Pagamentos	Recebimentos	Ire Agregados Ltda.	R$ 2.560,00	 R$ 2.560,00 	 Elma 
22/08/25	Despesa	Outros	Outros	Fabio Ferrari Martinez	-R$ 198,00	 R$ 198,00 	 Elma 
22/08/25	Despesa	Tecido	Produção	Mg Comercio Atacadista...	-R$ 525,00	 R$ 525,00 	 Elma 
25/08/25	Despesa	Outros	Outros	Confrapag Consultoria Empresarial	-R$ 174,59	 R$ 174,59 	 Elma 
28/08/25	Despesa	Embalagem	Produção	Embalagens Mogiana Comercial Ltda	-R$ 195,15	 R$ 195,15 	 Elma 
29/08/25	Receita	Pagamentos	Recebimentos	POLIMIX CONCRETO LTDA	R$ 4.520,00	 R$ 4.520,00 	 Elma 
29/08/25	Despesa	Outros	Outros	Fabio Ferrari Martinez	-R$ 121,00	 R$ 121,00 	 Elma 
01/09/25	Receita	Pagamentos	Recebimentos	Polimix Concreto Ltda	R$ 179,60	 R$ 179,60 	 Elma 
01/09/25	Despesa	Outros	Outros	Pix Marketplace	-R$ 236,91	 R$ 236,91 	 Elma 
07/09/25	Despesa	Outros	Outros	Pix Marketplace	-R$ 75,00	 R$ 75,00 	 Elma 
08/09/25	Despesa	Costureira	Produção	Elma De Barros Guimaraes Silva	-R$ 600,00	 R$ 600,00 	 Elma 
08/09/25	Despesa	Costureira	Produção	Elma De Barros Guimaraes Silva	-R$ 2.415,00	 R$ 2.415,00 	 Elma 
08/09/25	Receita	Pagamentos	Recebimentos	Polimix Concreto Ltda	R$ 3.200,00	 R$ 3.200,00 	 Elma 
10/09/25	Despesa	Tecido	Produção	Aradefe Industria E Comercio De Malhas Ltda	-R$ 1.147,20	 R$ 1.147,20 	 Elma 
12/09/25	Despesa	Bordado	Produção	Ribis Bordados E Confeccoes Ltda	-R$ 162,00	 R$ 162,00 	 Elma 
15/09/25	Despesa	Estampa	Produção	Roberto Ribeiro De Melo Estamparia	-R$ 2.828,00	 R$ 2.828,00 	 Elma 
15/09/25	Receita	Pagamentos	Recebimentos	POLIMIX CONCRETO LTDA	R$ 1.800,00	 R$ 1.800,00 	 Elma 
15/09/25	Receita	Pagamentos	Recebimentos	ECOMIX ARGAMASSAS LTDA	R$ 160,00	 R$ 160,00 	 Elma 
